Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth (ft),Min Depth (ft),Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes
Email, Mark Chiappone,8/20/2015,11:11,Miami,FL, Research, NSU-OC,25.40323,-80.12950,30, Biscayne National Park,Ajax Reef,Patch Reef, 5-10 kts,85.6,85,87.4,partly cloudy,YES,paling, Bleaching,paling,paling, Bleaching,none,paling,1-10%,30,25,fire coral,gorgonians,no data,"High-relief spur and groove habitat (6-12 m depth) sampled at Ajax Reef, Biscayne National Park, from 1111-1222 hrs. EST on 20AUG2015. The site was characterized by moderate relief coralline spurs dominated by algae and sea plumes. Two belt transects totaling 30 sq. m in area yielded 16 stony coral taxa, of which 5 taxa had at least 1 colony that was pale, 2 taxa had at least 1 colony that was partially bleached (partially white), and 3 taxa had at least 1 colony that was completely bleached (totally white). The encrusting octocoral Erythropodium caribaeorum exhibited paling, while the branching fire coral (Millepora alcicornis) exhibited partial bleaching."
Email, Mark Chiappone,8/20/2015,13:28,Miami,FL, Research, NSU-OC,25.35720,-80.15195,35, Biscayne National Park,SW of Pacific Reef,Hardbottom , 5-10 kts,85.6,87.5,87.5,partly cloudy,YES,partial bleaching,paling,none,partial bleaching, Bleaching,none,paling,31-50%,34,29,fire coral,no data,no data,"Low-relief hard-bottom habitat sampled southwest of Pacific Reef, Biscayne National Park, from 1328-1448 hrs. EST on 20AUG2015. The site was characterized by low-profile hard-bottom dominated by algae, octocorals, and sponges. Two belt transects totaling 30 sq. m in area yielded 14 stony coral taxa, of which 4 taxa had at least 1 colony that was pale, 3 taxa had at least 1 colony that was partially bleached (white), and 3 taxa had at least 1 colony that was completely bleached."
Email, Kara Claycomb,8/20/2015,no data,Key West,FL,Research,Dry Tortugas NPS,24.68226,-82.88960,51, Dry Tortugas National Park,no data,Hardbottom , 5-10 kts,86,85,84,no data,YES,partial bleaching,partial bleaching,paling,partial bleaching,paling,none,none,1-10%,41,35,fire coral,no data,no data,
Email, Ashley Siana,8/20/2015,no data,Key West,FL,Research,Dry Tortugas NPS,24.62986,-82.87120,17, Dry Tortugas National Park,no data,other/don't know, 0-5 kts,90,85,85,no data,YES,partial bleaching,unknown,partial bleaching,none,none,none,none,1-10%,8,4,fire coral,no data,no data,
Email, Ashley Siana,8/20/2015,no data,Key West,FL,Research,Dry Tortugas NPS,24.62617,-82.87296,no data, Dry Tortugas National Park,no data,other/don't know,no data,90,85,85,no data,YES,partial bleaching,partial bleaching,partial bleaching,Bleaching,none,none,none,1-10%,12,9,fire coral,no data,no data,
Email,Jessica Levy,8/21/2015,no data,Key Largo,FL,Education,Coral Restoration Foundation,24.91850,-80.50583,no data,Davis Rocks,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,
Email,Captain Bill Wickers,8/22/2015,no data,Key West,FL,Dive Industry,Key West Charter Boat,24.52063,-81.97252,no data,Woman Key,no data,Hardbottom ,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,31-50%,20,10,gorgonians,no data,no data,
Email,Captain Bill Wickers,8/22/2015,no data,Key West,FL,Dive Industry,Key West Charter Boat,24.60839,-81.92456,no data,Cottrell Key,no data,Hardbottom ,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,31-50%,20,10,gorgonians,no data,no data,
Email,Captain Bill Wickers,8/22/2015,no data,Key West,FL,Dive Industry,Key West Charter Boat,24.57523,-81.92156,no data,Mullet Key,no data,Hardbottom ,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,31-50%,20,10,gorgonians,no data,no data,
Email,Captain Bill Wickers,8/22/2015,no data,Key West,FL,Dive Industry,Key West Charter Boat,24.60317,-81.87265,no data,NW Channel,no data,Hardbottom ,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,31-50%,20,10,gorgonians,no data,no data,
Email, Bill Ferrell,8/23/2015,no data,Long Key,FL,Research, Keys Marine Lab,24.65678,-81.00973,26, Tropical Rocks,no data,Patch Reef, 0-5 kts,90,88,88,clear,YES,upper surface,partial bleaching,paling,paling,partial bleaching,partial bleaching,paling,11-30%,26,15,fire coral,no data,no data,This site has a small Acropora Palmata which was white on the tops with pale undersides and base. There is also Acropora cervicornis that has been out planted that showed some paling and bleaching.
Email, Gabrielle Renchen,8/24/2015,9:00,Marathon,FL, Research,Florida Fish and Wildlife (FWC),24.61541,-81.39309,8, Newfound Harbor SPA, Patch on west side of SPA,Patch Reef,no data,no data,no data,no data,partly cloudy,YES,partial bleaching,none,paling,none,none,none,none,11-30%,8,2,fire coral,no data,no data,"Multiple colonies of Diploria clivosa paling. Multiple colonies of Millepora alcicornis that were partially bleached, and very close to being completely bleached."
Email,Lonny Anderson,8/25/2015,no data,Key West,FL,Research,Florida Keys National Marine Sanctuary,24.44424,-81.96141,no data,FRRP 1280,no data,Patch Reef,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,76-100%,no data,no data,no data,no data,no data,
Email,Lonny Anderson,8/25/2015,no data,Key West,FL,Research,Florida Keys National Marine Sanctuary,24.44437,-81.94069,no data,FRRP 1285,no data,Patch Reef,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,76-100%,no data,no data,no data,no data,no data,
Email,Lonny Anderson,8/25/2015,no data,Key West,FL,Research,Florida Keys National Marine Sanctuary,24.44895,-81.93086,no data,FRRP 2233,no data,Patch Reef,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,76-100%,no data,no data,no data,no data,no data,
Email,Lonny Anderson,8/25/2015,no data,Key West,FL,Research,Florida Keys National Marine Sanctuary,24.44614,-81.96933,no data,FRRP Strat #1,no data,Patch Reef,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,76-100%,no data,no data,no data,no data,no data,
In Person,Cory Walter,8/25/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.59249,-81.22116,41,FRRP 1247,no data,other/don't know,no data,no data,84,86,no data,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,none,partial bleaching,76-100%,no data,no data,fire coral,gorgonians,no data,
In Person,Cory Walter,8/25/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.59162,-81.23261,31,FRRP 1242,no data,other/don't know,no data,no data,84,86,no data,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,none,partial bleaching,76-100%,no data,no data,fire coral,gorgonians,no data,
In Person,Cory Walter,8/25/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.58078,-81.27299,31,FRRP 1246,no data,other/don't know,no data,no data,84,86,no data,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,none,partial bleaching,76-100%,no data,no data,fire coral,gorgonians,no data,
In Person,Cory Walter,8/25/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.58601,-81.25211,31,FRRP 2195,no data,other/don't know,no data,no data,84,86,no data,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,none,partial bleaching,76-100%,no data,no data,fire coral,gorgonians,no data,
In Person,Cory Walter,8/25/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.59728,-81.26468,25,FRRP Strat #1,no data,other/don't know,no data,no data,84,86,no data,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,none,partial bleaching,76-100%,no data,no data,fire coral,gorgonians,no data,
Email, Bill Ferrell,8/25/2015,no data,Long Key,FL,Research, Keys Marine Lab,24.72487,-80.91892,28, E turtle shoals,no data,Patch Reef, 0-5 kts,89,89,89,partly cloudy,YES,partial bleaching,paling,Bleaching,partial bleaching, Bleaching,partial bleaching,partial bleaching,31-50%,28,12,fire coral,no data,no data,There were thick bands of black band disease on brain and star corals
In Person,Cory Walter,8/27/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.62148,-81.36317,no data,Inshore Coral Culture,no data,Patch Reef,no data,no data,no data,no data,no data,YES,partial bleaching,Bleaching,paling,partial bleaching, Bleaching,none,none,11-30%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/1/2015,9:30,Summerland Key,FL,Research,Mote Marine Laboratory,24.52129,-81.51588,38,FRRP 2225,no data,other/don't know,no data,no data,no data,85,no data,YES,partial bleaching,none,none,partial bleaching, Bleaching,none,none,76-100%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/1/2015,9:55,Summerland Key,FL,Research,Mote Marine Laboratory,24.51951,-81.53258,33,FRRP 1289,no data,other/don't know,no data,no data,no data,86,no data,YES,partial bleaching,Bleaching,none,partial bleaching,none,none,none,51-75%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/1/2015,10:40,Summerland Key,FL,Research,Mote Marine Laboratory,24.52619,-81.50423,18,FRRP 2226,no data,other/don't know,no data,no data,no data,85,no data,YES,paling,Bleaching,paling,partial bleaching, Bleaching,none,none,51-75%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/1/2015,11:20,Summerland Key,FL,Research,Mote Marine Laboratory,24.52426,-81.52236,16,FRRP 2221,no data,other/don't know,no data,no data,no data,85,no data,YES,paling,none,none,paling,none,none,none,31-50%,no data,no data,fire coral,gorgonians,no data,
In Person,Cory Walter,9/1/2015,11:50,Summerland Key,FL,Research,Mote Marine Laboratory,24.51667,-81.55456,24,FRRP 1264,no data,other/don't know,no data,no data,no data,86,no data,YES,paling,Bleaching,none,paling,none,none,none,11-30%,no data,no data,fire coral,gorgonians,no data,
In Person,Cory Walter,9/1/2015,12:15,Summerland Key,FL,Research,Mote Marine Laboratory,24.51398,-81.56316,23,FRRP 2236,no data,other/don't know,no data,no data,no data,86,no data,YES,partial bleaching,Bleaching,paling,partial bleaching,none,none,none,31-50%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/1/2015,12:50,Summerland Key,FL,Research,Mote Marine Laboratory,24.55001,-81.52374,27,FRRP 2212,no data,other/don't know,no data,no data,no data,86,no data,YES,paling,paling,none,paling,paling,none,Bleaching ,11-30%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/1/2015,13:42,Summerland Key,FL,Research,Mote Marine Laboratory,24.55943,-81.47942,31,FRRP 1259,no data,other/don't know,no data,no data,no data,86,no data,YES,paling,paling,paling,partial bleaching,none,none,paling,31-50%,no data,no data,fire coral,no data,no data,
Email,Vanessa Brinkhuis,9/1/2015,no data,Marathon,FL,Research,Florida Fish and Wildlife (FWC),24.68950,-81.03020,no data,Dustan Rocks,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,
Email,Vanessa Brinkhuis,9/1/2015,no data,Marathon,FL,Research,Florida Fish and Wildlife (FWC),24.71754,-80.93495,no data,West Turtle Shoal,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/2/2015,9:30,Summerland Key,FL,Research,Mote Marine Laboratory,24.54248,-81.40728,75,FRRP 2227,no data,other/don't know,no data,no data,no data,84,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,31-50%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/2/2015,10:30,Summerland Key,FL,Research,Mote Marine Laboratory,24.54514,-81.42704,31,FRRP 2242,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,76-100%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/2/2015,11:10,Summerland Key,FL,Research,Mote Marine Laboratory,24.54973,-81.44273,24,FRRP 1278,no data,other/don't know,no data,no data,no data,86,no data,YES,partial bleaching,Bleaching,none,partial bleaching,partial bleaching,none,none,51-75%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/2/2015,11:40,Summerland Key,FL,Research,Mote Marine Laboratory,24.55231,-81.44385,19,FRRP 2231,no data,other/don't know,no data,no data,no data,86,no data,YES,paling,none,none,paling,none,none,none,31-50%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/2/2015,13:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.55339,-81.38066,18,FRRP 1269,no data,other/don't know,no data,no data,no data,86,no data,YES,paling,paling,paling,paling,paling,none,none,11-30%,no data,no data,fire coral,no data,no data,
Email, Gabrielle Renchen,9/2/2015,12:00,Marathon,FL,Research,Florida Fish and Wildlife (FWC),24.62625,-81.10917,25, Sombrero Reef SPA, East side of spur and groove reef,other/don't know,no data,no data,no data,86,no data,YES,Bleaching, Bleaching,paling,paling,partial bleaching,none,none,11-30%,no data,no data,fire coral,no data,no data,"Paling: Dendrogyra cylindrus, Diploria clivosa, Montastraea cavernosa,
Siderastrea radians, Pseudodiploria strigosa, Madracis mirabilis,
Montastraea faveolata

Partial Bleaching: Agaricia agaricites, Millepora alcicornis

Bleaching: Porites porites, Millepora alcicornis"
In Person,Cory Walter,9/3/2015,10:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.56581,-81.33437,25,FRRP 2232,no data,other/don't know,no data,no data,no data,85,no data,YES,Bleaching,Bleaching,none,Bleaching,none,none,none,76-100%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/3/2015,10:30,Summerland Key,FL,Research,Mote Marine Laboratory,24.56971,-81.33003,21,Strat #1,no data,other/don't know,no data,no data,no data,85,no data,YES,partial bleaching,Bleaching,paling,partial bleaching,partial bleaching,none,none,76-100%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/3/2015,11:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.56869,-81.32655,19,Strat #2,no data,other/don't know,no data,no data,no data,85,no data,YES,paling,Bleaching,paling,partial bleaching,none,none,none,51-75%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/3/2015,11:45,Summerland Key,FL,Research,Mote Marine Laboratory,24.55704,-81.36685,22,FRRP 1283,no data,other/don't know,no data,no data,no data,85,no data,YES,partial bleaching,Bleaching,none,partial bleaching,none,none,none,31-50%,no data,no data,fire coral,no data,no data,
Email,Lonny Anderson,9/3/2015,no data,Key West,FL,Research,Florida Keys National Marine Sanctuary,24.46955,-81.80274,no data,FRRP 1287,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,76-100%,no data,no data,no data,no data,no data,
Email,Lonny Anderson,9/3/2015,no data,Key West,FL,Research,Florida Keys National Marine Sanctuary,24.47082,-81.72973,no data,FRRP 2241,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,76-100%,no data,no data,no data,no data,no data,
Email,Lonny Anderson,9/3/2015,no data,Key West,FL,Research,Florida Keys National Marine Sanctuary,24.48514,-81.75645,no data,FRRP 1276,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,76-100%,no data,no data,no data,no data,no data,
Email,Lonny Anderson,9/3/2015,no data,Key West,FL,Research,Florida Keys National Marine Sanctuary,24.50270,-81.73677,no data,Strat #1,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,76-100%,no data,no data,no data,no data,no data,
Email,Rob Ruzika,9/3/2015,no data,Marathon,FL,Research,Florida Fish and Wildlife (FWC),25.22162,-80.21110,no data,Carysfort ,no data,Bank Reef,no data,no data,no data,no data,no data,YES,paling,paling,paling,partial bleaching, Bleaching,paling,paling,no data,no data,no data,no data,no data,no data,
Email, Renee Carlton,9/3/2015,no data,Miami,FL, Research, NOAA/AOML,24.61162,-82.87015,45, Dry Tortugas National Park,no data,Bank Reef,no data,no data,no data,84,clear,YES,partial bleaching,paling,Bleaching,paling,partial bleaching,none,none,11-30%,no data,no data,fire coral,no data,no data,"Diploria labyrinthiformis was bleaching heavily, Siderastrea siderea were
partially bleached and showing signs of bleaching but not white, Diploria
strigosa were partially to mostly bleached. Some fire coral and gorgonians
were completely white."
Email, Renee Carlton,9/3/2015,no data,Miami,FL, Research, NOAA/AOML,24.67909,-83.03599,80,Sherwood Forrest,no data,Deep Reef,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,1-10%,no data,no data,no data,no data,no data,
Email,Rob Ruzika,9/4/2015,no data,Marathon,FL,Research,Florida Fish and Wildlife (FWC),25.00901,-80.37570,no data,Molasses,no data,Bank Reef,no data,no data,no data,no data,no data,YES,paling,paling,paling,partial bleaching, Bleaching,paling,paling,no data,no data,no data,no data,no data,no data,
Email,Rob Ruzika,9/5/2015,no data,Marathon,FL,Research,Florida Fish and Wildlife (FWC),25.11167,-80.30917,no data,Grecian Rocks,no data,Patch Reef,no data,no data,no data,no data,no data,YES,paling,paling,paling,partial bleaching, Bleaching,paling,paling,no data,no data,no data,no data,no data,no data,
Email,Nancy Perez,9/7/2015,12:00,Key Largo,FL,Education,Reef Environmental Education Foundation,24.89393,-80.55392,no data,Near Snake Creek,no data,Patch Reef,no data,no data,no data,no data,no data,YES,partial bleaching,no data,Bleaching,no data,no data,no data,no data,51-75%,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/8/2015,13:15,Summerland Key,FL,Research,Mote Marine Laboratory,24.49003,-81.67852,16,FRRP 1265,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,none,none,partial bleaching,none,none,none,76-100%,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/8/2015,13:53,Summerland Key,FL,Research,Mote Marine Laboratory,24.50657,-81.68639,17,FRRP 2209,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,none,paling,partial bleaching,none,none,none,31-50%,no data,no data,no data,no data,no data,
Email, Kerry Maxwell,9/8/2015,no data,Marathon,FL, Research,Florida Fish and Wildlife (FWC),24.68653,-80.96175,14, Coffins Patch SPA,buoy 2,Bank Reef, 0-5 kts,no data,no data,no data,partly cloudy,YES,partial bleaching,partial bleaching,Bleaching,Bleaching, Bleaching,unknown,unknown,31-50%,14,13,fire coral,gorgonians,no data,
Email, Kerry Maxwell,9/8/2015,no data,Marathon,FL, Research,Florida Fish and Wildlife (FWC),24.62533,-81.10988,20, Sombrero Reef SPA,buoy 16,Bank Reef, 5-10 kts,no data,no data,no data,partly cloudy,YES,partial bleaching,partial bleaching,Bleaching,partial bleaching,none,unknown,unknown,31-50%,20,6,fire coral,no data,no data,depended on genet. some brain corals or Montastereas were completely
Email, Kerry Maxwell,9/8/2015,no data,Marathon,FL, Research,Florida Fish and Wildlife (FWC),24.62158,-81.12708,23, Stag Acres,no data,Bank Reef, 5-10 kts,no data,no data,no data,partly cloudy,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching, Bleaching,unknown,unknown,31-50%,23,18,fire coral,no data,no data,
In Person,Cory Walter,9/9/2015,9:11,Summerland Key,FL,Research,Mote Marine Laboratory,24.48826,-81.67061,36,FRRP 2224,no data,other/don't know,no data,no data,no data,86,no data,YES,paling,none,paling,paling, Bleaching,none,none,31-50%,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/9/2015,10:54,Summerland Key,FL,Research,Mote Marine Laboratory,24.49306,-81.66008,13,Strat #1,no data,other/don't know,no data,no data,no data,86,no data,YES,paling,paling,none,partial bleaching, Bleaching,none,none,51-75%,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/9/2015,11:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.50906,-81.66554,18,Strat #2,no data,other/don't know,no data,no data,no data,86,no data,YES,paling,none,paling,paling,none,none,none,31-50%,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/9/2015,12:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.51593,-81.67480,23,Strat #3,no data,other/don't know,no data,no data,no data,87,no data,YES,paling,none,paling,paling,paling,none,Bleaching ,31-50%,no data,no data,no data,no data,no data,
Email, Lauren Toth,9/9/2015,no data,Marathon,FL, Research,United States Geological Survey,24.74520,-80.78157,30, Tennessee Reef , near light,Bank Reef,no data,no data,no data,88,no data,YES,partial bleaching,none,Bleaching,paling,none,none,none,51-75%,30,17,fire coral,no data,no data,"I wasn't able to do any systematic surveys, but these were my general
impressions:
-Diploria: always bleached; most colonies were entirely white, but all
showed severe paling
-Porites astreoides: paling, but few colonies were completely bleached
-Porites porites: Variable, but most colonies showed evidence of bleaching
and/or paling
-Millepora: often bleached, especially colony tips
-Siderastrea siderea: almost no paling/bleaching
-Obricella: very few colonies present, but no bleaching observed; same goes
for Montastraea cavernosa"
Email, Cindy Lewis,9/9/2015,no data,Long Key,FL,Research, Keys Marine Lab,24.71782,-80.84213,35, Middle Keys, LKLD-2,Bank Reef, 0-5 kts,86,88,88,clear,YES,Bleaching, Bleaching,Bleaching,Bleaching, Bleaching,none,none,51-75%,35,30,fire coral,palythoa,gorgonians,"bleached: D cyl, O fav, P ast, P por, D lab, D strig, M mean, M cav, S sid,
Agaricia sp,
pale & bleached octocoral: A americana, Eunicia, Muricia, Muriciopsis,
Briarium"
Email, Cindy Lewis,9/9/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.71778,-80.84520,26, Middle Keys, LKLD-1,Bank Reef, 0-5 kts,86,88,88,clear,YES,Bleaching, Bleaching,Bleaching,Bleaching, Bleaching,none,none,51-75%,26,20,fire coral,palythoa,gorgonians,
Email, Cindy Lewis,9/9/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.68988,-80.91917,30, Middle Keys, Critter Ridge,other/don't know, 0-5 kts,86,88,88,clear,YES,Bleaching, Bleaching,Bleaching,Bleaching, Bleaching,none,none,51-75%,30,25,fire coral,palythoa,gorgonians,"bleach: O fav, D cyl, M mean, M cav, D lab, D strig, P por, P ast, Agaricia
octocorals bleached & pale"
Email, Cindy Lewis,9/9/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.65593,-81.01222,27, Middle Keys, Parallel Reef,Bank Reef, 0-5 kts,86,88,88,clear,YES,Bleaching,paling,Bleaching,Bleaching, Bleaching,none,none,51-75%,27,25,fire coral,palythoa,gorgonians,"bleach: O fav, M mean, M cav, D lab, D strig, P por, P ast, Agaricia, A palm pale: D cyl, C nat, A prol, A palm, A cerv (outplants) octocorals bleached & pale BBD: C nat"
Email, Cindy Lewis,9/9/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.62970,-81.09315,33, Middle Keys, Sombrero Out,Bank Reef, 0-5 kts,86,88,88,clear,YES,Bleaching, Bleaching,Bleaching,Bleaching, Bleaching,none,none,76-100%,33,30,fire coral,palythoa,gorgonians,"bleach: D cyl, O fav, M mean, M cav, D lab, D strig, P por, P ast, Agaricia

octocorals bleached & pale"
Email, Cindy Lewis,9/9/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.62548,-81.11178,26, Sombrero Reef SPA,no data,Bank Reef, 0-5 kts,86,88,88,clear,YES,Bleaching,paling,Bleaching,Bleaching, Bleaching,none,none,76-100%,26,15,fire coral,palythoa,gorgonians,"bleach: O fav, M mean, M cav, D lab, D strig, P por, P ast, Agaricia, A palm
pale: D cyl, C nat, A prol, A palm, A cerv (outplants)
octocorals bleached & pale
BBD: C nat"
In Person,Cory Walter,9/10/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.50012,-81.62958,17,FRRP 1272,no data,other/don't know,no data,no data,no data,86,no data,YES,partial bleaching,Bleaching,paling,partial bleaching, Bleaching,paling,none,76-100%,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/10/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.51377,-81.61843,13,FRRP 1268,no data,other/don't know,no data,no data,no data,86,no data,YES,paling,paling,none,partial bleaching,none,none,none,31-50%,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/10/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.52622,-81.62611,20,FRRP 1257,no data,other/don't know,no data,no data,no data,87,no data,YES,paling,paling,paling,paling,paling,none,none,31-50%,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/10/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.52983,-81.63037,18,FRRP 2210,no data,other/don't know,no data,no data,no data,87,no data,YES,paling,paling,partial bleaching,partial bleaching,paling,none,none,31-50%,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/10/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.53475,-81.63209,16,FRRP 1258,no data,other/don't know,no data,no data,no data,87,no data,YES,paling,Bleaching,paling,paling, Bleaching,paling,Bleaching ,31-50%,no data,no data,no data,no data,no data,
Email, Cindy Lewis,9/10/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.57997,-81.28777,31, Lower Keys, Bahia Honda Pillars 1,Patch Reef, 5-10 kts,88,88,88,clear,YES,Bleaching, Bleaching,Bleaching,Bleaching, Bleaching,none,Bleaching ,76-100%,31,30,fire coral,palythoa,gorgonians,"bleached: S sid, Solenestria, P ast, P por, Euc, D stok, C nat, O fav, O
ann, M cav, Agaricia, D lab, D stri, M mean
bleached octos: A americana, Psuedoplexara, Plexarella, Eunicia spp,
Muricia, Plexaura, Briarium"
Email, Cindy Lewis,9/10/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.58433,-81.25835,29, Lower Keys, Bahia Honda Pillars 5,Patch Reef, 5-10 kts,88,88,90,clear,YES,Bleaching, Bleaching,Bleaching,Bleaching, Bleaching,none,Bleaching ,76-100%,29,25,fire coral,palythoa,gorgonians,"bleached: D cyl, S sid, Solenestria, P ast, P por, Euc, D stok, C nat, O
fav, O ann, M cav, Agaricia, D lab, D stri, M mean
bleached octos: A americana, Psuedoplexara, Plexarella, Eunicia spp,
Muricia, Plexaura, Briarium"
Email, Cindy Lewis,9/10/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.58517,-81.25265,32, Lower Keys, Bahia Honda Pillars 3,Patch Reef, 5-10 kts,88,88,90,clear,YES,Bleaching, Bleaching,Bleaching,Bleaching, Bleaching,none,Bleaching ,76-100%,32,30,fire coral,palythoa,gorgonians,"bleached: D cyl, S sid, Solenestria, P ast, P por, Euc, D stok, C nat, O
fav, O ann, M cav, Agaricia, D lab, D stri, M mean
bleached octos: A americana, Psuedoplexara, Plexarella, Eunicia spp,
Muricia, Plexaura, Briarium
BBD: C nat, G vent"
Email, Cindy Lewis,9/10/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.58560,-81.25112,32, Lower Keys, Bahia Honda Pillars 4,Patch Reef, 5-10 kts,88,88,90,clear,YES,Bleaching, Bleaching,Bleaching,Bleaching, Bleaching,none,Bleaching ,76-100%,32,30,fire coral,palythoa,gorgonians,"bleached: D cyl, S sid, Solenestria, P ast, P por, Euc, D stok, C nat, O
fav, O ann, M cav, Agaricia, D lab, D stri, M mean
bleached octos: A americana, Psuedoplexara, Plexarella, Eunicia spp,
Muricia, Plexaura, Briarium
WP: D cyl"
Email, Cindy Lewis,9/10/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.59005,-81.24897,32, Lower Keys, Bahia Honda Pillars 2,Patch Reef, 5-10 kts,88,88,90,clear,YES,Bleaching, Bleaching,Bleaching,Bleaching, Bleaching,none,Bleaching ,76-100%,32,30,fire coral,no data,no data,"bleached: D cyl, S sid, Solenestria, P ast, P por, Euc, D stok, C nat, O
fav, O ann, M cav, Agaricia, D lab, D stri, M mean
bleached octos: A americana, Psuedoplexara, Plexarella, Eunicia spp,
Muricia, Plexaura, Briarium
"
